search term,sex or gender,place of birth,occupation,country of residence,religion,voice_type,ethnic group,native language,age,filename
Leigh+Francis,male,Leeds,actor,United Kingdom,,,,,44.0,Leigh Francis wins Entertainment Performance award for Celebrity Juice | BAFTA TV Awards 2016
Willie+Colón,male,The Bronx,singer,United States of America,,,,,67.0,MARIA HINOJOSA INTERVIEWS WILLIE COLON
Eser+YENENLER,male,Bursa,actor,Turkey,,,,,33.0,3 Adam - Kerem Bürsin'in Karizmatik İngilizcesi (2.Sezon 7.Bölüm)
The+Weeknd,male,Toronto,record producer,Canada,,tenor,,,27.0,Canada's Walk Of Fame 2014 The Weeknd receives the Allan Slaight award on TV!!
Shawn+Michaels,male,Chandler,professional wrestler,United States of America,,,,,52.0,Shawn Michaels Final Farewell Speech - Part 1
Steve+Harvey,male,Caracas,singer,Venezuela,,,,,74.0,Steve Harvey 'Jump' Motivational Speech
AB+de+Villiers,male,Pretoria,cricketer,South Africa,,,,,33.0,"AB de Villiers on his autobiography titled ""AB"""
Erin+Andrews,female,Lewiston,journalist,United States of America,,,,,39.0,Erin Andrews Civil Trial Plaintiff Closing Argument 03/04/16
Rajdeep+Sardesai,male,Gujarat,news presenter,India,,,,,52.0,Distinguished Public Lecture by Mr. Rajdeep Sardesai
chris+pratt,male,Virginia,actor,United States of America,Christianity,,,,38.0,Emotional Chris Pratt at his Hollwood Walk of Fame Star
Gabrielle+Union,female,Omaha,actor,United States of America,,,African Americans,,45.0,"Gabrielle Union: ""you are worthy because you are here."""
Sertab+Erener,female,Istanbul,singer,Turkey,,soprano,,,53.0,King's speech & Here I am
Sonu+Nigam,male,Faridabad,actor,India,,,,,44.0,Sonu Nigam मस्जिदों की अजान से नींद खराब! बंद हो ये गुंडागर्दी
Jason+Aldean,male,Georgia,singer,United States of America,,,,,40.0,Jason Aldean's Full Speech In His First Show Since The Las Vegas Shooting
Chris+Evans,male,Boston,actor,United States of America,,,,,34.0,The 'Captain America: Civil War' cast join Chris Evans for a battle hymn.
Mark+Wright,male,Berinsfield,association football player,United Kingdom,,,,,54.0,Mark Wright's emotional engagement party speech - The Only Way Is Essex
Cher++,female,El Centro,actor,United States of America,,contralto,,,71.0,The Second Presidential Debate: Hillary Clinton And Donald Trump (Full Debate) | NBC News
Alyssa+Milano,female,New York City,actor,United States of America,,,,,45.0,Alyssa Milano SPEECH Lysa Heslov at the Children Mending Hearts Gala  2010
Lisa+Surihani,female,Kuala Lumpur,actor,Malaysia,,,,,31.0,Speech by Lisa Surihani
Mario+Götze,male,Memmingen,association football player,Germany,Christianity,,,,25.0,"German Footballers Speaking English - Reus, Gotze, Ozil, Muller, Kroos, Hummels..."
barkha+dutt,female,Delhi,news presenter,India,,,,,46.0,Barkha Dutt’s speech at The Telegraph National Debate 2016
Javier+Alatorre,male,Navojoa,news presenter,Mexico,,,,,54.0,Hector THE MONGOOSE Alatorre Fiery Speech to  Victor Ortiz
Axel,male,Santos,association football player,Brazil,,,,,47.0,"Kingdom Hearts 1.5 - 358/2 Days Fav Parts: Xion and Axel's Face Off // Day 357 ""Tears"""
Nil+Karaibrahimgil,female,Ankara,singer,Turkey,,,,,41.0,Nil
Kevin+Pietersen,male,Pietermaritzburg,cricketer,South Africa,,,,,37.0,Kevin Pietersen discusses his regrets - The Graham Norton Show: Series 16 Episode 3 - BBC One
Pablo+Alborán,male,Benalmádena,singer-songwriter,Spain,,tenor,,,28.0,Pablo Alborán chats with PausePlay about his Grammy nominated album
Santiago+Segura,male,Carabanchel,actor,Spain,,,,,52.0,Monólogo de Santiago Segura en Los Goya 2012
Dr.+Dre,male,Compton,actor,United States of America,,,African Americans,,52.0,"2016 Rock & Roll Hall of Fame NWA's Complete Induction Speech pt 1 (Dre, Yella)"
Kat+Graham,female,Geneva,television actor,United States of America,,,African Americans,,28.0,Kat Graham cries while watchng a video made for her by fans + speech
Elon+Musk,male,Pretoria,entrepreneur,United States of America,,,,English,46.0,Elon Musk Incredible Speech - Motivational video By MulliganBrothers
Mark+Wahlberg,male,Boston,film actor,United States of America,Catholicism,,English American,,46.0,Pain and Gain motivational speech-Mark Wahlberg
Missy+Elliott,female,Portsmouth,actor,United States of America,,,African Americans,,46.0,TRIBUTE TO/ MISSY ELLIOTT:BILLBOARD WOMEN IN MUSIC
Alfie+Deyes,male,England,YouTuber,,,,,,24.0,THIS IS TOO FUNNY!!
Maria+Gadú,female,São Paulo,singer,Brazil,,,,,31.0,Cely Jones - João de Barro (Maria Gadú)
Solenn+Heussaff,female,Makati,actor,Philippines,,,Filipino people,,32.0,The Wedding of Solenn Heussaff and Nico Bolzico
Rohit+Sharma+,male,Nagpur,cricketer,India,,,,,30.0,Sandeep Maheshwari 7 Rules of Success Inspirational Speech | Motivational Seminar
Macklemore,male,Seattle,rapper,United States of America,,,,,34.0,Macklemore & Ryan Lewis Wins Best New Artist | GRAMMYs
william+levy,male,Cojimar,model,United States of America,,,,,37.0,"William Levy [@WillyLevy29] Tyson, Boris talk about Addicted"
Mike+Epps,male,Indianapolis,actor,United States of America,,,African Americans,,47.0,Mike Epps clowns Debo
Tarkan,male,Alzey,singer,Turkey,,,,,45.0,Romano Tarkan 2010 Ka Zivinav Sa Te Mislensa by Studio Dekica
carolina+dieckmann,female,Rio de Janeiro,actor,Brazil,,,,,39.0,Lara Fabian - Brasil - Planeta Xuxa (Globo)
Fanny+Lu,female,Cali,actor,Colombia,,,,,44.0,"Jimmy Buffett feat. Fanny Lu ""I Want To Go Back To Cartagena"" Music Video"
Elizabeth+Gillies,female,Haworth,actor,United States of America,,,,,24.0,Powerful Tribute Speech! | Ariana Grande Snapchat Vlogs
Lee+Min+Ho,male,Seoul,singer,South Korea,,,,,35.0,{ ENG SUBS } 2010 MBC Drama Awards - Lee Min Ho Cuts
Markus+Persson,male,Stockholm,game programmer,Sweden,,,,Swedish,38.0,Fireside Chat with Notch - MineCon 2012
Yalın,male,Istanbul,singer,Turkey,,,,,37.0,An inspiring LGBT speech- NEW YORK CITY- Greenwich Village
Dermot+O'Leary,male,Colchester,radio personality,United Kingdom,,,,,44.0,Ed Sheeran chats to Dermot O'Leary | The BRITs 2017
Emilio+Lovera,male,Caracas,actor,Venezuela,,,,,56.0,Pepeto chiste mono rama
Russell+Westbrook,male,Long Beach,basketball player,United States of America,,,African Americans,,29.0,Russell Westbrook Full KIA MVP Presentation & Speech | NBA Awards 2017
Henry+Lau,male,Toronto,violinist,People's Republic of China,,,,,28.0,Henry Lau Speech - END SS5 IN BRAZIL
Trevor+Noah,male,Johannesburg,comedian,South Africa,,,,,33.0,Trevor Noah: Is the World Getting Better? #GOALKEEPERS17
arjun+rampal,male,Jabalpur,actor,India,,,,,45.0,Arjun Rampal Full Speech At Grant Tree Plantation Drive
Ryan+Sheckler,male,La Palma,skateboarder,United States of America,,,,,28.0,Sports Spectacular 2009 Acceptance Speech / Ryan Sheckler
Nicolas+Vazquez,male,Buenos Aires,actor,Argentina,,,,,40.0,Laudatory Speech from Habib Chamoun-Nicolas for Josefina Vázquez Mota
Chris+Hardwick,male,,,United States of America,,,,,34.0,Chris Hardwick tells Bill Maher about his career
Álvaro+Morata,male,Madrid,association football player,Spain,,,,,25.0,Álvaro Morata joins Chelsea on five-year contract
kerry+washington,female,The Bronx,actor,United States of America,,,African Americans,,40.0,Kerry Washington Accepts the Vanguard Award at the #GLAADAWARDS
Marcelo+Adnet,male,Rio de Janeiro,actor,Brazil,,,,,36.0,Marcelo Adnet Gol e Tam
Alfredo+Flores,male,Barcelona,,Spain,,,,,102.0,Alfredo Flores speaking Norwegian
CAROLE+SAMAHA,female,Beirut,singer,Lebanon,,,,,45.0,Carole Samaha - Social Justice Day Speech / كارول سماحة - كلمة اليوم العالمي للعدالة الاجتماعية
Tony+Robbins,male,North Hollywood,motivational speaker,United States of America,,,Croats,,57.0,Tony Robbins 2017 Motivational Video The Speech to Inspire Masses
GARY+VALENCIANO,male,Manila,singer,Philippines,,tenor,,,53.0,On X's and passion | Gary Valenciano | TEDxXavierSchool
Kendra+Wilkinson,female,San Diego,television actor,United States of America,,,,,32.0,Kendra Wilkinson reacts to Hugh Hefner reuniting with Cry...
Gordon+Ramsay,male,Johnstone,cook,United Kingdom,,,,,51.0,Gordon Ramsay's Inspirational Speech
Chris+Gayle,male,Kingston,cricketer,Australia,,,,,38.0,"No Boundaries by Sid Mallya - Chris Gayle, Episode1"
"Tyler,+The+Creator",male,Los Angeles,actor,United States of America,,,African Americans,,26.0,Tyler the Creator Winning Best New Artist! (2011)
Kenan+Doğulu,male,Istanbul,singer,Turkey,,,,,43.0,Kenan Doğulu - Onuncu Yıl Marşı (Canlı Performans)
Rory+Mcilroy,male,Holywood,golfer,United Kingdom,,,,,28.0,Rory McIlroy Speech after winning the Open Championship.
Gisella+Anastasia,female,,singer,Indonesia,,,,,27.0,Iklan Kotex ProActive Guards - Gisella Anastasia [Official]
Paul+Walker,male,Glendale,film actor,United States of America,Church of Jesus Christ of Latter-day Saints,,,,44.0,Paul Walker honored - ‎Noble Awards 2015‬
Farruko,male,"Bayamón, Puerto Rico",singer,Puerto Rico,,,,,26.0,Terry Farruk VP of Sales speech 2014
Jhong+hilario,male,Makati,television presenter,Philippines,,,,,41.0,Tawag ng Tanghalan: Jhong imitates the voice of Big Brother
Ian+McKellen,male,Burnley,voice actor,United Kingdom,atheism,,,,78.0,Ian McKellen - Full Address
XIAN+LIM,male,San Francisco,singer,United States of America,,,Chinese Filipino,,28.0,Kim Chiu and Xian Lim's speech for KimXian's fan group (complete)
Zaira+Nara,female,Boulogne Sur Mer,model,Argentina,,,,,29.0,Seedling Mentor Program - Zaira Garcia's Keynote Speech
Deepak+Chopra,male,New Delhi,motivational speaker,India,,,,,71.0,"Deepak Chopra : Physical Healing, Emotional Wellbeing"
Ice+Cube,male,Los Angeles,film actor,United States of America,Islam,,African Americans,,48.0,Ice Cube of N.W.A Accepts Rock and Roll Hall of Fame Award
David+Lynch,male,Missoula,film director,United States of America,,,,,71.0,"David Lynch on Consciousness, Creativity and the Brain (Transcendental Meditation)"
Jeremy+Piven,male,New York City,actor,United States of America,,,,,52.0,"Best Sales Lesson ever by Jeremy Piven in ""The Goods: Live Hard, Sell Hard"""
Felicia+Day,female,Huntsville,actor,United States of America,,,,,38.0,Felicia Day (The Guild) wins Best Female Actor in a Comedy Web Series
Shraddha+Kapoor,female,Gujarat,actor,India,,,,,30.0,Rajeev Masand interview with Shraddha Kapoor
Biz+Stone,male,San Francisco,creative director,United States of America,,,,English,43.0,"Biz Stone, Co-Founder of Twitter"
Tom+Daley,male,Plymouth,diver,United Kingdom,,,,English,23.0,Tom Daley and Dustin Lance Black' acceptance speech at the #BritishLGBTAwards
Chris+Colfer,male,Clovis,actor,United States of America,,contratenor,,,27.0,Golden Globes 2011: Chris Colfer (Glee) wins for best performance by an actor in a supporting role
Ashley+Cole,male,Stepney,association football player,United Kingdom,,,,,37.0,Jimmy Hill's Sunday Supplement - Ashley Cole Tapping Up Saga
Chris+Jericho,male,New York City,singer,United States of America,,,,,47.0,Jericho's speech
Jack+Johnson,male,Honolulu,singer-songwriter,United States of America,,,,,42.0,Speech - Jack Johnson
Dani+Bolina,female,Porto Alegre,model,Brazil,,,,,33.0,Women Training Motivation - Brazilian Ass & Legs.avi
Joey+Graceffa,male,Marlborough,YouTuber,United States of America,,,,,26.0,SPEECH JAMMER CHALLENGE w/ JOEY GRACEFFA // Grace Helbig
Joe+Sugg,male,Wiltshire,YouTuber,United Kingdom,,,,,26.0,YOUTUBER WHISPERS VS SPEECH JAMMER!
kate+del+castillo,female,Mexico City,television actor,United States of America,,,,,52.0,Actress Kate del Castillo Opens Up About Being In An Abusive Relationship
Aaron+Paul,male,Emmett,actor,United States of America,,,,,38.0,"Aaron Paul wins an Emmy for ""Breaking Bad"" 2014"
Manny+Pacquiao,male,Kibawe,politician,Philippines,,,,Filipino language,39.0,Mayweather vs Pacquiao Final Press Conference: Manny Pacquiao Speech
Lauren+London,female,Los Angeles,actor,United States of America,,,,,33.0,"Toya Talks Lauren London, Nivea and Sarah Vivan"
Paul+McCartney,male,Liverpool,singer,United Kingdom,,tenor,,,75.0,Paul McCartney inducts John Lennon into the Rock and Roll Hall of Fame
Ross+Lynch,male,Littleton,actor,United States of America,,,,,22.0,"Ross Lynch Speech ""R5 at the Greek "" - Sub Español"
Mandy+Moore,female,Nashua,singer,United States of America,,,,,33.0,Mandy Moore & Travis Wall - Outstanding Choreography - Creative Arts Emmy's
ADAM+LAMBERT,male,Indianapolis,actor,United States of America,,tenor,,,35.0,HD Edit Adam Lambert's Speech at Resist March LA Pride 6/11/17
anand+mahindra,male,Mumbai,entrepreneur,India,,,,,62.0,Anand Mahindra's inspiring speech for Whistling Woods Graduation Students
Bill+Nye,male,"Washington, D.C.",engineer,United States of America,,,,,62.0,"Bill Nye, The Science Guy - UMass Lowell 2014 Commencement Morning Speaker (32:27)"
Soimah,female,Pati,presenter,Indonesia,,,,,37.0,Speech Composing Soimah - Artis Papan Atas (Edisi Spesial SHOW IMAH Trans TV)
Greyson+Chance,male,Wichita Falls,singer-songwriter,United States of America,,,,,20.0,Greyson Chance I Heart interview Nov  2015
Jim+Gaffigan,male,Chesterton,screenwriter,United States of America,,,,,51.0,CUA Commencement 2016-Jim and Jeanne Gaffigan's Speech
Denise+Richards,female,Downers Grove,television actor,United States of America,,,,,46.0,"Charlie Sheen Weighs In On Denise Richards, Publicist (03.01.11)"
Richard+Hammond,male,Solihull,television presenter,United Kingdom,,,,,48.0,"Jeremy Clarkson, Richard Hammond & James May Show Us the Last Thing on Their Phones | WIRED"
Davina+McCall,female,Wimbledon,actor,United Kingdom,,,,,50.0,"Davina McCall On Boosting Confidence: ""Fake It Till You Make It"""
David+Ospina,male,Medellín,association football player,Colombia,,,,,29.0,Rio praises Ospina after surprise call up
Emre+Aydın,male,Isparta,singer-songwriter,Turkey,,,,,36.0,"Emre's post-concert speech on Beethoven, Napoleon and Terrorism (English subtitles)"
Raphaël+Varane,male,Lille,association football player,,,,,,24.0,"Raphaël Varane - Amazing Defending, Skills & Goals 2016/17 | Reaction"
Christian+Bautista,male,Imus,singer,Philippines,,,,,36.0,ASEAN Spirit
Kyrie+Irving,male,Melbourne,basketball player,United States of America,,,African Americans,,25.0,Kyrie Irving Speech | Cleveland Cavaliers Championship Parade
Yosri+Fouda,male,Gharbia Governorate,journalist,Egypt,,,,,53.0,AUC's Spring 2012 Graduate Commencement Speech | Yousri Fouda
Ruffa+Gutierrez,female,Manila,actor,Philippines,,,,,43.0,Richard Gutierrez explains medical situation faced by sister Ruffa Gutierrez
Anthony+Bourdain,male,New York City,cook,United States of America,atheism,,,,61.0,Anthony Bourdain - Parts Unknown - 2013 Peabody Award Acceptance Speech
Rachel+Zoe,female,New York City,wardrobe stylist,United States of America,,,,,46.0,Brad Goreski's Relationship With Rachel Zoe | HPL
DJ+KHALED,male,New Orleans,disc jockey,United States of America,None,,,,42.0,Motivational speech Dj Khaled
Angelica+Vale,female,Mexico City,actor,Mexico,,,,,42.0,Ceremony Selena Quintanilla Star Hollywood Walk of fame
Jason+Segel,male,Los Angeles,actor,United States of America,,,,,37.0,Jason Segel gives his speech at Neil Patrick Harris star ceremony.mp4
andhika+pratama,male,Malang,actor,,,,,,31.0,Ku Pilih Hatimu - Ussy ft. Andhika Pratama (Official Video Clip)
Robbie+Williams,male,Stoke-on-Trent,singer,United Kingdom,,tenor,,,43.0,Robin Williams - the most inspiring robin williams speech - make your life spectacular
James+May,male,Bristol,television presenter,United Kingdom,,,,,54.0,Top Gear Presenter James May Reacts To Jeremy Clarkson Being Sacked By BBC
zaheer+khan,male,Lahore,cricketer,,,,,,38.0,Zakir Khan - What happens when you fail in an exam! AIB Diwas
Kendall+Schmidt,male,Wichita,singer,United States of America,,,,,27.0,"Kendall Schmidt Talks to Popstar! About Movies, Snacks, and Big Time Rush!"
EL+MORENO+MICHAEL,male,,singer,Venezuela,,,,,50.0,Around the World in 80 Days Wins Best Picture: 1957 Oscars
Jeremy+Bieber,male,Stratford,,Canada,,,,,42.0,Justin Bieber Reacts to Dad Jeremy's Comments About His Nude Photos
Nathan+Kress,male,Glendale,actor,United States of America,,,,,25.0,Sam & Nathan's Wedding Day Final
Hardwell,male,Breda,record producer,Kingdom of the Netherlands,,,,,29.0,Hardwell - How Hardwell Growth Hacked His Career | TNW Conference 2017
Charlotte+Crosby,female,Sunderland,television presenter,United Kingdom,,,,,27.0,Geordie Shore BBB | Charlotte & Gary React To Their Own Love Story!! | MTV
sarah+sechan,female,Bandung,,Indonesia,,,,,43.0,Speech Composing Sarah Sechan - Oh My God (Spesial Sarah Sechan NET TV)
Tom+Hiddleston,male,Westminster,stage actor,United Kingdom,,,,,36.0,Tom Hiddleston Wins Best Actor in a Limited Series at the 2017 Globes
Rajinikanth,male,Bangalore,actor,India,,,,,67.0,I am a 'Pachai Tamizhan' - Superstar Rajinikanth's Speech at Last Day Fans meeting | Thanthi TV
Marcus+Butler,male,,YouTuber,,,,,,26.0,How To Speak Australian
Andrés+Cepeda,male,Bogota,singer,Colombia,,,,,44.0,Interview with Juan Cepeda-Rizo
Patton+Oswalt,male,Portsmouth,actor,United States of America,atheism,,,,45.0,Patton Oswalt Wins Best Comedy Album | Acceptance Speech | 59th GRAMMYs
Triple+H,male,Nashua,professional wrestler,United States of America,,,,,48.0,Triple H gives hilarious & inspiring speech
Sebastian+Rulli,male,Buenos Aires,model,Argentina,,,,,42.0,Sebastian Rulli concluye su participación en Perfume de Gardenias
Carlos+Baute,male,Caracas,singer,Venezuela,,,,,43.0,"Merymel en ""Premios Latino"" (Speech)"
Audrina+Patridge,female,Los Angeles,film actor,United States of America,,,,,32.0,Donald Trump Meets Audrina Patridge | Throwback Thursday | VH1
Danna+Paola,female,Guadalajara,television actor,Mexico,,,,,22.0,Danna Paola en 100 Mexicanos Dijieron
Katt+Williams,male,Cincinnati,actor,United States of America,,,African Americans,,44.0,Katt Williams BET Comedy Awards
Pepe,male,Maceió,association football player,Portugal,,,,,34.0,"""PEPE!"" Livestreaming the moment from Hillary's alt-right speech"
Levent+Üzümcü,male,İzmir,actor,Turkey,,,,,45.0,Erdoğan Stamping Out Press Freedom In Turkey
Shane+Warne,male,Upper Ferntree Gully,cricketer,Australia,,,,,48.0,Australian Cricketer Shane Warne Speech Rarest Video
French+Montana,male,Casablanca,rapper,United States of America,,,,,33.0,French Montana Tells His Story - THE GENESIS
Keith+Urban,male,Whangarei,singer,Australia,,,,,50.0,"2017 CMT Awards: Keith Urban Takes Home 4 Awards, Adorably Dedicates Trophy to Wife Nicole Kidman"
Najwa+Shihab,female,Makassar,television presenter,Indonesia,,,,,40.0,"Geli Banget, Karya Eka Gustiwana Remix Najwa Shihab Cs"
Adal+Ramones,male,Monterrey,actor,Mexico,,,,,56.0,[MONOLOGO] Modas / Adal Ramones
Belal+Fadl,male,,screenwriter,Egypt,,,,,44.0,What's So Funny About Egypt? - Interview with Belal Fadl
Giovani+Dos+Santos,male,Monterrey,association football player,Mexico,,,,,28.0,Conan Plays Fùtbol With Giovani Dos Santos
Mike+Vick,male,Southampton,guitarist,United Kingdom,,,,,77.0,Michael Vick's press conference and statement
Marco+Reus,male,Dortmund,association football player,Germany,,,,,28.0,Gianluigi Buffon vs. Marco Reus | Head to Head Interview | PUMA Football
bob+saget,male,Philadelphia,film actor,United States of America,,,American Jews,,61.0,Bob Saget Admits 'Inappropriate Acts' in New Book
Tom+Felton,male,Epsom,actor,United Kingdom,,,,,30.0,"Teen Choice Awards 2011 - Daniel Radcliffe, Rupert Grint & Tom Felton - Harry Potter Awards"
Sharon+Osbourne,female,Brixton,actor,United Kingdom,,,,,65.0,Watch Sharon Osbourne Kick Man Who Crashed 'The Talk' People's Choice Speech - Twice!
MARTIN+GARRIX,male,Amstelveen,record producer,Kingdom of the Netherlands,,,,Dutch,21.0,"Martin Garrix Talks Ed Sheeran, Ultra Music Festival & ‘Rewind Repeat It’ | MTV News"
Steve+Nash,male,Johannesburg,basketball player,Canada,,,,,43.0,Steve Nash Inducted Into Phoenix Suns Ring of Honor
ananda+omesh,male,Sukabumi,actor,Indonesia,,,,,31.0,Great lesson for parents...(omesh jethani)
Maria+Shriver,female,Chicago,journalist,United States of America,Catholicism,,,,62.0,2012 USC Annenberg School for Communication Commencement Address
Thomas+Müller,male,Weilheim in Oberbayern,association football player,Germany,,,,,28.0,Thomas Muller Speaking English
Yusuf+Mansur,male,,,,,,,,41.0,Ustad Yusuf Mansur Speech for Leader
Vincent+Kompany,male,Uccle,association football player,Belgium,,,,,31.0,KOMPANY & DAUGHTER ON TITLE | City v West Ham Champions 2014
Willie+Robertson,male,Bernice,chief executive officer,United States of America,Christianity,,,,45.0,FULL SPEECH: Willie Robertson of Duck Dynasty at Republican National Convention
Stromae,male,Brussels,singer-songwriter,Belgium,,,,,32.0,Stromae English Interview With Gilles Peterson
Neil+Gaiman,male,Portsmouth,beekeeper,United Kingdom,atheism,,English people,,57.0,"Neil Gaiman 2012 Commencement Speech ""Make Good Art"""
Moez+Masoud,male,Cairo,Hafiz,Egypt,,,,,39.0,The Secrets of this World - Moez Masoud
David+Spade,male,Birmingham,actor,United States of America,,,,,53.0,David Spade enters the 'No Spin Zone'
Paula+Abdul,female,San Fernando,actor,United States of America,,,,,55.0,Paula Abdul's 'Idol' finale speech to Simon Cowell
Daniel+Bryan,male,Aberdeen,professional wrestler,United States of America,,,,,36.0,"Daniel Bryan bids farewell to the WWE Universe: Raw, February 8, 2016"
Derrick+Rose,male,Chicago,basketball player,United States of America,,,African Americans,,29.0,DERRICK ROSE 2010-2011 MVP AWARD PRESENTATION & SPEECH (ORIGINAL VIDEO)
Fernando+Alonso,male,Oviedo,Formula One driver,Spain,,,,,36.0,Fernando Alonso 2017 Indianapolis Indy 500 Victory Banquet - Presentation & Speech
Rebel+Wilson,female,Sydney,actor,Australia,,,,,37.0,Baftas 2016: Rebel Wilson's deadpan speech
Michael+Bublé,male,Burnaby,singer,Canada,,tenor,,,42.0,Emotional Michael Buble calls his kids inspiring in awards speech
Robi+Domingo,male,Quezon City,model,Philippines,,,,,28.0,Robi Domingo Expressed True Feelings for Gretchen Ho at Bb. Pilipinas 2017 Stage!!
Şahan+Gökbakar,male,İzmir,actor,Turkey,,,,,37.0,Sahan Karo - Safal Bano
Anthony+Padilla,male,Sacramento County,actor,United States of America,,,,,30.0,Problem-Solution Speech - Anthony Padilla
Luke+Brooks,male,Sydney,rugby league player,Australia,,,,,23.0,Luke Brooks Inspired Advice Speech
Amy+Schumer,female,Manhattan,actor,United States of America,,,American Jews,,36.0,Amy Schumer Hilarious Acceptance Speech | Glamour UK
Craig+Ferguson,male,Glasgow,actor,United States of America,,,,,55.0,Craig Ferguson Speaks From The Heart
Ayushmann+Khurrana,male,Chandigarh,actor,India,,,,,33.0,Ayushmann Khurrana: Courage comes from failure
kylie+minogue,female,Melbourne,television actor,Australia,,soprano,Anglo-Celtic Australian,,49.0,Kylie Minogue - Inducted into the ARIA Hall of Fame (Speech)
juicy+j,male,Memphis,rapper,United States of America,,,,,42.0,Wiz Khalifa - Respect ft. Juicy J & K Camp (Cabin Fever 3)
Manu+Gavassi,female,São Paulo,vocalist,Brazil,,,,,24.0,"Manu Gavassi, RBD e Demi Lovato no Se Liga | Purebreak"
Seu+Jorge,male,Belford Roxo,actor,Brazil,,,,,47.0,SEU JORGE - NOTAS  ALTAS (HIGH NOTES)
